xcoord;ycoord
-48,2321;11,8595
-48,2338;11,8595
-48,2338;11,8595
-48,2355;11,8595
-48,2355;11,8595
-48,2371;11,6858
-48,2371;11,6858
-48,2388;11,6858
-48,2388;11,6858
-48,2388;11,6858
-48,2388;11,6858
-48,2388;11,3383
-48,2355;11,1645
-48,2321;11,1645
-48,2304;10,9907
-48,2288;10,9907
-48,2271;10,817
-48,2237;10,6432
-48,2204;10,4695
-48,217;10,2957
-48,2154;9,9482
-48,2137;9,7744
-48,2137;9,6007
-48,2137;9,4269
-48,212;9,2532
-48,212;9,0794
-48,2103;8,9056
-48,2086;8,7319
-48,207;8,5581
-48,207;8,5581
-48,207;8,5581
-48,207;8,5581
-48,207;8,2106
-48,207;8,2106
-48,2086;8,2106
-48,2137;8,0369
-48,2187;8,0369
-48,2237;8,0369
-48,2271;8,0369
-48,2321;8,0369
-48,2355;8,0369
-48,2371;8,0369
-48,2405;8,0369
-48,2422;8,0369
-48,2472;8,0369
-48,2522;8,0369
-48,2539;8,0369
-48,2573;8,0369
-48,2623;7,8631
-48,2656;7,6893
-48,2707;7,5156
-48,274;7,5156
-48,2791;7,5156
-48,2841;7,3418
-48,2858;7,3418
-48,2891;7,3418
-48,2925;7,3418
-48,2942;7,3418
-48,2958;7,3418
-48,3009;7,3418
-48,3025;7,6893
-48,3076;7,6893
-48,3126;7,8631
-48,3159;7,8631
-48,3193;7,8631
-48,3243;7,8631
-48,326;7,8631
-48,3294;7,8631
-48,3327;7,8631
-48,3361;7,8631
-48,3411;7,8631
-48,3428;7,8631
-48,3461;7,6893
-48,3478;7,6893
-48,3478;7,6893
-48,3495;7,5156
-48,3512;7,5156
-48,3512;7,5156
-48,3528;7,5156
-48,3562;7,5156
-48,3612;7,3418
-48,3612;7,3418
-48,3612;7,3418
-48,3629;7,3418
-48,3646;7,3418
-48,3662;7,3418
-48,3679;7,3418
-48,373;7,3418
-48,373;7,3418
-48,3746;7,3418
-48,378;7,3418
-48,3797;7,3418
-48,383;7,1681
-48,3847;6,9943
-48,3864;6,9943
-48,3914;6,473
-48,3931;6,2993
-48,3947;6,1255
-48,3981;5,778
-48,3998;5,778
-48,4015;5,6042
